Date,HSBC,China Mobile,CLP Holdings,China Construction Bank,Haier Smart Home,Xiaomi Corporation
2022-02-07,57.900001525878906,56.0,79.0999984741211,6.159999847412109,29.600000381469727,16.3799991607666
2022-02-08,58.79999923706055,56.25,79.8499984741211,6.150000095367432,28.950000762939453,15.960000038146973
2022-02-09,59.29999923706055,57.900001525878906,80.0999984741211,6.170000076293945,29.299999237060547,16.719999313354492
2022-02-10,58.75,56.29999923706055,80.05000305175781,6.159999847412109,29.25,16.81999969482422
2022-02-11,59.0,56.349998474121094,79.94999694824219,6.179999828338623,29.049999237060547,16.600000381469727
2022-02-14,59.0,55.25,79.8499984741211,6.139999866485596,28.350000381469727,16.34000015258789
2022-02-15,58.0,54.599998474121094,80.0,5.960000038146973,28.149999618530273,16.280000686645508
2022-02-16,58.5,55.599998474121094,79.80000305175781,6.0,28.899999618530273,16.600000381469727
2022-02-17,58.0,54.5,80.0,6.0,28.75,16.540000915527344
2022-02-18,58.0,54.79999923706055,79.8499984741211,6.010000228881836,28.700000762939453,16.139999389648438
2022-02-21,58.54999923706055,55.900001525878906,80.3499984741211,6.050000190734863,28.100000381469727,16.100000381469727
2022-02-22,56.45000076293945,55.29999923706055,79.94999694824219,5.940000057220459,27.75,15.619999885559082
2022-02-23,58.099998474121094,54.900001525878906,79.75,5.940000057220459,28.350000381469727,15.760000228881836
2022-02-24,56.150001525878906,54.0,80.0,5.840000152587891,27.450000762939453,14.960000038146973
2022-02-25,54.75,53.150001525878906,80.0999984741211,5.75,27.200000762939453,14.739999771118164
2022-02-28,54.099998474121094,52.79999923706055,79.55000305175781,5.860000133514404,27.25,14.65999984741211
2022-03-01,54.0,53.150001525878906,77.6500015258789,5.860000133514404,28.350000381469727,14.680000305175781
2022-03-02,51.20000076293945,52.25,77.4000015258789,5.800000190734863,27.549999237060547,14.819999694824219
2022-03-03,53.29999923706055,52.849998474121094,77.55000305175781,5.829999923706055,27.0,14.720000267028809
2022-03-04,51.5,52.04999923706055,77.4000015258789,5.809999942779541,26.799999237060547,13.960000038146973
2022-03-07,47.849998474121094,51.599998474121094,77.19999694824219,5.690000057220459,25.049999237060547,13.680000305175781
2022-03-08,48.0,51.150001525878906,77.8499984741211,5.599999904632568,24.049999237060547,12.9399995803833
2022-03-09,49.25,51.0,77.44999694824219,5.519999980926514,24.200000762939453,13.300000190734863
2022-03-10,49.150001525878906,51.75,78.69999694824219,5.619999885559082,24.350000381469727,13.579999923706055
2022-03-11,48.849998474121094,51.54999923706055,77.30000305175781,5.619999885559082,24.200000762939453,13.65999984741211
2022-03-14,49.599998474121094,50.54999923706055,77.94999694824219,5.630000114440918,24.25,12.479999542236328
2022-03-15,49.20000076293945,48.29999923706055,76.9000015258789,5.489999771118164,22.25,11.5
2022-03-16,49.20000076293945,50.20000076293945,75.75,5.420000076293945,23.75,13.399999618530273
2022-03-17,51.20000076293945,51.5,76.0999984741211,5.639999866485596,25.75,13.9399995803833
2022-03-18,51.400001525878906,52.900001525878906,75.8499984741211,5.71999979019165,24.549999237060547,13.520000457763672
2022-03-21,51.349998474121094,53.04999923706055,76.05000305175781,5.619999885559082,24.899999618530273,13.380000114440918
2022-03-22,52.349998474121094,54.099998474121094,75.80000305175781,5.679999828338623,25.950000762939453,14.199999809265137
2022-03-23,53.150001525878906,54.349998474121094,75.55000305175781,5.639999866485596,25.049999237060547,14.779999732971191
2022-03-24,52.70000076293945,56.0,76.1500015258789,5.659999847412109,25.149999618530273,14.5
2022-03-25,52.79999923706055,55.04999923706055,76.3499984741211,5.690000057220459,23.850000381469727,14.420000076293945
2022-03-28,53.75,55.29999923706055,76.0999984741211,5.730000019073486,23.950000762939453,14.479999542236328
2022-03-29,53.5,55.29999923706055,76.5,5.75,24.200000762939453,14.119999885559082
2022-03-30,53.95000076293945,54.599998474121094,76.4000015258789,5.800000190734863,25.299999237060547,14.15999984741211
2022-03-31,54.20000076293945,54.150001525878906,76.3499984741211,5.889999866485596,25.450000762939453,13.9399995803833
2022-04-01,54.349998474121094,54.5,76.9000015258789,5.929999828338623,25.799999237060547,13.779999732971191
2022-04-04,54.04999923706055,54.900001525878906,76.3499984741211,5.949999809265137,26.600000381469727,14.039999961853027
2022-04-06,53.70000076293945,55.349998474121094,76.0,5.909999847412109,25.649999618530273,13.65999984741211
2022-04-07,53.45000076293945,55.29999923706055,76.69999694824219,5.880000114440918,25.100000381469727,13.420000076293945
2022-04-08,53.95000076293945,55.45000076293945,77.0,5.889999866485596,24.649999618530273,13.199999809265137
2022-04-11,54.04999923706055,54.599998474121094,77.0999984741211,5.860000133514404,24.5,12.359999656677246
2022-04-12,53.349998474121094,54.650001525878906,77.05000305175781,5.829999923706055,25.799999237060547,12.319999694824219
2022-04-13,53.29999923706055,55.5,76.75,5.860000133514404,25.899999618530273,12.359999656677246
2022-04-14,53.25,55.349998474121094,76.75,5.860000133514404,27.350000381469727,12.479999542236328
2022-04-19,53.45000076293945,55.400001525878906,76.44999694824219,5.75,25.799999237060547,12.039999961853027
